title,name,rental_duration,standard_quartile
Turn Star,Animation,3,1
Casper Dragonfly,Children,3,1
Daughter Madigan,Children,3,1
Zorro Ark,Comedy,3,1
Tracy Cider,Animation,3,1
King Evolution,Family,3,1
Tootsie Pilot,Children,3,1
Wait Cider,Animation,3,1
Sweethearts Suspects,Children,3,1
Jerk Paycheck,Classics,3,1
Jeopardy Encino,Classics,3,1
Doors President,Animation,3,1
Go Purple,Music,3,1
Magnificent Chitty,Classics,3,1
Downhill Enough,Comedy,3,1
Tomorrow Hustler,Classics,3,1
Telegraph Voyage,Music,3,1
Virtual Spoilers,Family,3,1
Gables Metropolis,Family,3,1
Fury Murder,Children,3,1
Packer Madigan,Animation,3,1
Pajama Jawbreaker,Classics,3,1
Earring Instinct,Family,3,1
Beast Hunchback,Classics,3,1
Jeepers Wedding,Classics,3,1
Stranger Strangers,Children,3,1
Titanic Boondock,Animation,3,1
Ties Hunger,Children,3,1
Anaconda Confessions,Animation,3,1
Timberland Sky,Classics,3,1
Fargo Gandhi,Children,3,1
Ferris Mother,Comedy,3,1
Bilko Anonymous,Family,3,1
Fight Jawbreaker,Animation,3,1
Secrets Paradise,Family,3,1
Searchers Wait,Comedy,3,1
Flintstones Happiness,Comedy,3,1
Personal Ladybugs,Music,3,1
Vanishing Rocky,Music,3,1
Magic Mallrats,Children,3,1
Song Hedwig,Music,3,1
Arizona Bang,Classics,3,1
Scarface Bang,Children,3,1
Potluck Mixed,Animation,3,1
Intentions Empire,Animation,3,1
Insects Stone,Animation,3,1
Sons Interview,Animation,3,1
Alone Trip,Music,3,1
Snowman Rollercoaster,Animation,3,1
Backlash Undefeated,Children,3,1
Pure Runner,Comedy,3,1
Miracle Virtual,Animation,3,1
Range Moonwalker,Family,3,1
Hustler Party,Comedy,3,1
Rush Goodfellas,Family,3,1
Wisdom Worker,Comedy,3,1
Strictly Scarface,Comedy,3,1
Baked Cleopatra,Family,3,1
Lover Truman,Classics,3,1
Velvet Terminator,Comedy,3,1
Confused Candles,Family,3,1
Sugar Wonka,Animation,3,1
Mission Zoolander,Animation,3,1
Valley Packer,Comedy,3,1
Lovely Jingle,Classics,3,1
Core Suit,Classics,3,1
Sunrise League,Animation,3,1
Heartbreakers Bright,Children,3,1
Harper Dying,Animation,3,1
Blood Argonauts,Family,3,1
Lonely Elephant,Comedy,3,1
Words Hunter,Music,3,1
Horn Working,Animation,4,1
Massage Image,Animation,4,1
Memento Zoolander,Comedy,4,1
Champion Flatliners,Animation,4,1
Million Ace,Classics,4,1
Minority Kiss,Music,4,1
Model Fish,Children,4,1
Vertigo Northwest,Comedy,4,1
Mulan Moon,Comedy,4,1
Snatchers Montezuma,Classics,4,1
Natural Stock,Family,4,1
Outfield Massacre,Music,4,1
Oz Liaisons,Animation,4,1
Pinocchio Simon,Comedy,4,1
Pittsburgh Hunchback,Family,4,1
Club Graffiti,Animation,4,1
Prix Undefeated,Family,4,1
Rage Games,Family,4,1
Roots Remember,Classics,4,1
Robbery Bright,Family,4,1
Conspiracy Spirit,Classics,4,1
